Unnamed: 0.1,author,text,likes,published_at,Unnamed: 0,clean_text,predicted_label,confidence_score
7542,@NexHubEntertainment472,fire🔥🔥🔥🔥🔥🚒👩‍🚒,0,2026-02-03T19:48:34Z,452.0,fire fire  fire  fire  fire  fire  fire_engine  woman_firefighter ,neutral or positive,0.3274363279342651
7543,@BrianNgatia-w3g,Bad Bad Bad!ii pia umeuwa🔥🔥🙌🏽,0,2026-02-03T19:47:29Z,453.0,Bad Bad Bad!ii pia umeuwa fire  fire  raising_hands_medium_skin_tone ,offensive language,0.4875646829605102
7544,@sparta_the_DJ,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,0,2026-02-03T19:47:24Z,454.0,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,neutral or positive,0.3534356951713562
7545,@sparta_the_DJ,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,0,2026-02-03T19:47:13Z,455.0,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,neutral or positive,0.3534356951713562
7546,@FUTBOL_VIDEOS08,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,0,2026-02-03T19:43:06Z,456.0,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,neutral or positive,0.3534356951713562
7547,@FUTBOL_VIDEOS08,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,0,2026-02-03T19:42:58Z,457.0,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,neutral or positive,0.3534356951713562
7548,@FUTBOL_VIDEOS08,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,0,2026-02-03T19:42:47Z,458.0,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,neutral or positive,0.3534356951713562
7549,@FUTBOL_VIDEOS08,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,0,2026-02-03T19:42:37Z,459.0,LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m,neutral or positive,0.3534356951713562
7550,@GeorgeGitau-s5w2e,"❤️‍🔥🔥🔥,,, Mboka doba to the fullest 🇯🇲🐊🔞 1960 ,,, big up Mnisa napenda 💪✌️👌",0,2026-02-03T19:16:02Z,460.0," heart_on_fire  fire  fire ,,, Mboka doba to the fullest  Jamaica  crocodile  no_one_under_eighteen  1960 ,,, big up Mnisa napenda  flexed_biceps  victory_hand  OK_hand ",neutral or positive,0.348465621471405
7551,@QingDarius,Mboka doba,1,2026-02-03T19:01:58Z,461.0,Mboka doba,neutral or positive,0.3452903032302856
