Unnamed: 0.1,author,text,likes,published_at,Unnamed: 0,clean_text,predicted_label,confidence_score
0,@ChristineArumba-y7q,🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2026-02-15T10:58:38Z,, rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ,offensive language,0.4408399164676666
1,@LexiSumaii,OBina suffer alot 😂😂😂😂,0,2026-02-09T21:24:41Z,,OBina suffer alot  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.5852920413017273
2,@marthaayuma7065,Mmmmh makubwa yapo njiani yanakuja,0,2026-02-08T02:19:02Z,,Mmmmh makubwa yapo njiani yanakuja,neutral or positive,0.3248895704746246
3,@danwenger1113,"Tunataka 
Kiss between 

Salet and Onjiri",0,2026-02-07T14:27:42Z,,"Tunataka 
Kiss between 

Salet and Onjiri",constructive criticism,0.3351278901100158
4,@emmambuvi9029,Foolishness and witchcraft,0,2026-02-07T07:41:52Z,,Foolishness and witchcraft,offensive language,0.5926721096038818
5,@stephenmuange2998,Nipee mate ×2,0,2026-02-07T06:04:13Z,,Nipee mate ×2,offensive language,0.2522588670253753
6,@careyochogo7069,he is cheating,0,2026-02-06T22:37:07Z,,he is cheating,offensive language,0.4696918129920959
7,@Cherryclover35,Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart 😂😂😂😂😂😂,0,2026-02-06T13:34:17Z,,Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,hate speech,0.3308389484882355
8,@MochacheJanet,😂😂😂😂,0,2026-02-06T13:04:46Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.3975022137165069
9,@YvonneKashish,Niruhusi nikuchape pusuu a roho😂😂😂😂😂,0,2026-02-06T07:07:54Z,,Niruhusi nikuchape pusuu a roho face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.4545678794384002
10,@abdisalangure616,Rubbish this is not only  immoral but also unafrican ....wacha kuharibu watoto wetu....There are things made in private ......This is like walking naked .......obinna stopairing such crab.,0,2026-02-05T23:36:38Z,,Rubbish this is not only  immoral but also unafrican ....wacha kuharibu watoto wetu....There are things made in private ......This is like walking naked .......obinna stopairing such crab.,offensive language,0.5902459621429443
11,@collettumbo8972,🤣🤣🤣🤣🤣obina's eyes.,0,2026-02-05T07:36:32Z,, rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing obina's eyes.,offensive language,0.6111325025558472
12,@pricelessevolution,Huyu lazima acheat!!,0,2026-02-04T14:12:58Z,,Huyu lazima acheat!!,irony,0.2868869304656982
13,@pricelessevolution,"Wakisii wanapenda sota matiaba!!! ,(Cola drinks)",0,2026-02-04T14:06:06Z,,"Wakisii wanapenda sota matiaba!!! ,(Cola drinks)",neutral or positive,0.3072243928909302
14,@pricelessevolution,Mkisii? Siringi kwa ya piri....,0,2026-02-04T14:03:14Z,,Mkisii? Siringi kwa ya piri....,irony,0.4007348418235779
15,@Emmagraphics-x1,aty nikububujike 😂na penzi,0,2026-02-03T22:18:10Z,,aty nikububujike  face_with_tears_of_joy na penzi,neutral or positive,0.2948515117168426
16,@jamesmuimi5737,Alafu obina kwani miwani Yako haioni????😂😂😂😂,1,2026-02-03T20:16:54Z,,Alafu obina kwani miwani Yako haioni???? face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.4603659510612488
17,@jamesmuimi5737,Obina iyo macho😂😂😂😂😂😂,0,2026-02-03T20:13:09Z,,Obina iyo macho face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.4908277690410614
18,@Brendahchepkorir254,May this kind of love never locate my ex 😂😂😂,2,2026-02-03T19:25:03Z,,May this kind of love never locate my ex  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.3807626664638519
19,@afreenkhan5670-f7i,😂😅🤣🤣🤣🤣hki wakisii mtavunja bavu langu weh,1,2026-02-03T19:09:18Z,, face_with_tears_of_joy  grinning_face_with_sweat  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing hki wakisii mtavunja bavu langu weh,irony,0.3420822322368622
20,@MarolyneChepngeno,Wonders will never end.Tuko hapa tunawangojea end of year,1,2026-02-02T22:05:47Z,,Wonders will never end.Tuko hapa tunawangojea end of year,neutral or positive,0.6115262508392334
21,@leahndungu7298,🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😒🤨🙄,0,2026-01-31T17:34:57Z,, nauseated_face  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  unamused_face  face_with_raised_eyebrow  face_with_rolling_eyes ,neutral or positive,0.4195128083229065
22,@allankhoyi,Hata wakiss kwa TV wataachana tu next week,2,2026-01-31T16:26:04Z,,Hata wakiss kwa TV wataachana tu next week,neutral or positive,0.3519761860370636
23,@OliviahMutethya-r8b,😅😅😅😅,0,2026-01-30T15:11:43Z,, grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ,offensive language,0.3897833228111267
24,@JohnJaudi-s5d,Nko apo kwa puzu ya roho😂😂😂😂,0,2026-01-30T11:31:35Z,,Nko apo kwa puzu ya roho face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.3912060260772705
25,@catherinekanono4298,Weeh Hawa wako Na shida aki,0,2026-01-29T10:30:22Z,,Weeh Hawa wako Na shida aki,neutral or positive,0.3400632739067077
26,@rensonbaraka94,Sikio la Ndewe halisikii kufa😂😂😂😂😂😂am finished,0,2026-01-26T23:10:01Z,,Sikio la Ndewe halisikii kufa face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy am finished,offensive language,0.3440195322036743
27,@AllanMuuo-b1q,Awa warudi kisii sasa😂😂😂,0,2026-01-26T11:25:31Z,,Awa warudi kisii sasa face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.4508050084114074
