Unnamed: 0.1,author,text,likes,published_at,Unnamed: 0,clean_text,predicted_label,confidence_score
2514,@Sharonsalmai-yj2ec,Hannah ❤❤,8,2025-05-05T21:59:27Z,2185.0,Hannah  red_heart  red_heart ,neutral or positive,0.2672265768051147
2515,@LenahOtwori,"""We might be on the right track but you are not moving"" Obinna jameni 😂💔",32,2025-05-05T21:59:20Z,2186.0,"""We might be on the right track but you are not moving"" Obinna jameni  face_with_tears_of_joy  broken_heart ",neutral or positive,0.4101000428199768
2516,@moureenjendeka9410,"Obinna i love u, but haungeleta benta kwa show hao wakiwa...ungeleta hanna interview yake pekee....
Umekosea obinna",0,2025-05-05T21:58:50Z,2187.0,"Obinna i love u, but haungeleta benta kwa show hao wakiwa...ungeleta hanna interview yake pekee....
Umekosea obinna",neutral or positive,0.5315753817558289
2517,@relay_entkE,guys nipitieni 😊😊,1,2025-05-05T21:58:41Z,2188.0,guys nipitieni  smiling_face_with_smiling_eyes  smiling_face_with_smiling_eyes ,offensive language,0.3017309904098511
2518,@LuciaMutuku-cc5hc,Hio simu ya Daddy nakupigia ni paraaaaa,16,2025-05-05T21:58:36Z,2189.0,Hio simu ya Daddy nakupigia ni paraaaaa,irony,0.3273133635520935
2519,@zeitunahmed4175,Hannah awachane na hii relationship inamdrain hadi amebeat!,50,2025-05-05T21:58:33Z,2190.0,Hannah awachane na hii relationship inamdrain hadi amebeat!,irony,0.2859926521778106
2520,@valentinealusa7406,Culture has a sense of humour 😅,0,2025-05-05T21:58:18Z,2191.0,Culture has a sense of humour  grinning_face_with_sweat ,irony,0.7074853181838989
2521,@Faithyvonne-zr5vl,Mimi nimetaka aseme jina la dawa walipewa huyu mbilikimo mkora anajizungusha kumbafu,0,2025-05-05T21:57:50Z,2192.0,Mimi nimetaka aseme jina la dawa walipewa huyu mbilikimo mkora anajizungusha kumbafu,irony,0.3508529663085937
2522,@TeresaKwamboka-s9j,Upcoming youtubers tupitiane tugrow pamoja nawapenda ❤❤❤,12,2025-05-05T21:57:39Z,2193.0,Upcoming youtubers tupitiane tugrow pamoja nawapenda  red_heart  red_heart  red_heart ,neutral or positive,0.3115975856781006
2523,@IreneGachanja-h2c,"All we know is Sabrina huwa hadanganyi,alituambia Ile story ya kaswende later tukapata niukweli so hapa tunajua mwenye ukweli n sabrina",110,2025-05-05T21:57:38Z,2194.0,"All we know is Sabrina huwa hadanganyi,alituambia Ile story ya kaswende later tukapata niukweli so hapa tunajua mwenye ukweli n sabrina",irony,0.359259694814682
