"Unnamed: 0","Unnamed: 0.1","annotation_id","annotator","author","category","clean_text","confidence_score","created_at","id","language","lead_time","likes","predicted_label","published_at","sentiment","subcategory","text","updated_at"
"",5028,3011,"1","@Annemimi234","Irony/Sarcasm","Napenda hii couple but hapo kwa 29yrs nimekataaa....  face_with_tears_of_joy  face_with_tears_of_joy ",0.6048948168754578,"2026-02-24T19:06:10.770015Z",10057,"Mixed (Code-switching)",224.696,10,"neutral or positive","2025-07-28T16:36:04Z","Positive","[Irony] Hyperbolic understatement","Napenda hii couple but hapo kwa 29yrs nimekataaa.... 😂😂","2026-02-24T19:06:10.770015Z"
"",5029,3012,"1","@MKLMNMKLMNMKLMN","Others","rada zako wasingam",0.2915499806404114,"2026-02-24T19:08:59.913717Z",10058,"Sheng",90.467,0,"neutral or positive","2025-07-28T16:35:44Z","Neutral","[Other] General Others","rada zako wasingam","2026-02-24T19:08:59.913717Z"
"",5030,3013,"1","@raphaelmutinda8214","Constructive Criticism","Izo chwom mbaya ndio zetuu face_with_tears_of_joy  face_with_tears_of_joy ",0.6237429976463318,"2026-02-24T19:10:09.116244Z",10059,"Sheng",67.516,0,"offensive language","2025-07-28T16:35:12Z","Positive","[CC] Genuine Praise","Izo chwom mbaya ndio zetuu😂😂","2026-02-24T19:10:09.116244Z"
"",5031,3014,"1","@rhinoriders6060","Constructive Criticism","Nka shy grinning_face_with_sweat ",0.4070870876312256,"2026-02-24T19:11:05.157793Z",10060,"Mixed (Code-switching)",53.456,0,"neutral or positive","2025-07-28T16:35:07Z","Positive","[CC] Genuine Praise","Nka shy😅","2026-02-24T19:11:05.157793Z"
"",5032,3015,"1","@wanjawakariuki9079","Constructive Criticism","Ata kama ni dooh kuna shida zingine siwezi taka",0.6276571750640869,"2026-02-24T19:18:26.750854Z",10061,"Sheng",70.046,1,"neutral or positive","2025-07-28T16:34:43Z","Neutral","[CC] Decision-criticism","Ata kama ni dooh kuna shida zingine siwezi taka","2026-02-24T19:18:26.750854Z"
"",5033,3016,"1","@irenemutuku4043","Irony/Sarcasm"," face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy Hawa huwezi waelewa",0.4992189705371856,"2026-02-24T19:20:26.148353Z",10062,"Swahili",117.453,0,"offensive language","2025-07-28T16:34:01Z","Neutral","[Irony] Hyperbolic understatement","😂😂😂😂😂😂Hawa huwezi waelewa","2026-02-24T19:20:26.148353Z"
"",5034,3017,"1","@2five4Eventsphotography","Constructive Criticism","tumeingoja. salamia korir",0.3786774575710296,"2026-02-24T19:20:49.599785Z",10063,"Swahili",22.435,0,"neutral or positive","2025-07-28T16:33:34Z","Neutral","[CC] Supportive Speech","tumeingoja. salamia korir","2026-02-24T19:20:49.599785Z"
"",5035,3018,"1","@MwilwatsiJohn","Irony/Sarcasm","The wife looks 65 face_with_tears_of_joy ",0.2941755652427673,"2026-02-24T19:21:47.977468Z",10064,"English",57.225,0,"irony","2025-07-28T16:33:32Z","Negative","[Irony] Hyperbolic understatement","The wife looks 65😂","2026-02-24T19:21:47.977468Z"
"",5036,3019,"1","@Josephine-ht3zc","Constructive Criticism","The more you dig in,the more you get confused",0.4427207112312317,"2026-02-24T19:24:30.131655Z",10065,"English",160.973,8,"neutral or positive","2025-07-28T16:33:08Z","Neutral","[CC] Corrective clarification","The more you dig in,the more you get confused","2026-02-24T19:24:30.131655Z"
"",5037,3020,"1","@henryomondi9957","Constructive Criticism","Obina kuja busia",0.4790042042732239,"2026-02-24T19:24:53.353380Z",10066,"Swahili",16.094,0,"offensive language","2025-07-28T16:33:04Z","Positive","[CC] Supportive Speech","Obina kuja busia","2026-02-24T19:24:53.353380Z"
"",5038,3021,"1","@justmekendi","Others","Mchele na kebab. Water Melon na cake",0.351220965385437,"2026-02-24T19:25:28.899717Z",10067,"Mixed (Code-switching)",34.415,0,"neutral or positive","2025-07-28T16:32:29Z","Neutral","[Other] General Others","Mchele na kebab. Water Melon na cake","2026-02-24T19:25:28.899717Z"
"",5039,3022,"1","@LucyNjiru-i8m","Others","Was waiting for this  grinning_face_with_sweat  grinning_face_with_sweat ",0.4375926256179809,"2026-02-24T19:26:34.817149Z",10068,"English",64.261,0,"offensive language","2025-07-28T16:32:27Z","Positive","[Other] General Others","Was waiting for this 😅😅","2026-02-24T19:26:34.817149Z"
"",5040,3023,"1","@geofreynjagim5241","Constructive Criticism","Fully active flexed_biceps ",0.2722830772399902,"2026-02-24T19:26:44.987895Z",10069,"English",9.049,0,"neutral or positive","2025-07-28T16:32:13Z","Positive","[CC] Supportive Speech","Fully active💪","2026-02-24T19:26:44.987895Z"
"",5041,3024,"1","@kenzyadai531","Constructive Criticism","Guys let's stop being haters,if this guy is happy and the lady,who are we to judge,God has plans for everyone and whatever they do,whatever age they are it's none of your fucking business as long as they love each other,the lady is calm sophisticated I'm happy when I see people happy....may God bless their union as he has blessed mine....hugs for them from  diaspora. red_heart ",0.3944947123527527,"2026-02-24T19:27:14.442000Z",10070,"English",28.013,17,"hate speech","2025-07-28T16:31:44Z","Positive","[CC] Supportive Speech","Guys let's stop being haters,if this guy is happy and the lady,who are we to judge,God has plans for everyone and whatever they do,whatever age they are it's none of your fucking business as long as they love each other,the lady is calm sophisticated I'm happy when I see people happy....may God bless their union as he has blessed mine....hugs for them from  diaspora.❤","2026-02-24T19:27:14.442000Z"
"",5042,3025,"1","@CharlesKabai-de6df","Others","Kumintatu  face_with_tears_of_joy ",0.3337255120277405,"2026-02-24T19:27:43.886691Z",10071,"Sheng",28.113,0,"neutral or positive","2025-07-28T16:31:04Z","Positive","[Other] General Others","Kumintatu 😂","2026-02-24T19:27:43.886691Z"
"",5043,3026,"1","@AlaniJereman-wg6bf","Constructive Criticism"," face_with_tears_of_joy  face_with_tears_of_joy siku zombo",0.4148463904857635,"2026-02-24T19:27:54.473640Z",10072,"Sheng",6.753,0,"neutral or positive","2025-07-28T16:30:58Z","Positive","[CC] Supportive Speech","😂😂siku zombo","2026-02-24T19:27:54.473640Z"
"",5044,3027,"1","@dkmwers","Irony/Sarcasm","Hapo kwa Movement ni jammo got me face_with_tears_of_joy  face_with_tears_of_joy ",0.3977469801902771,"2026-02-24T19:28:32.854388Z",10073,"Sheng",37.15,0,"neutral or positive","2025-07-28T16:30:27Z","Positive","[Irony] Mock Laughter","Hapo kwa Movement ni jammo got me😂😂","2026-02-24T19:28:32.854388Z"
"",5045,3028,"1","@Williammuthengiro","Constructive Criticism","Wakudumu",0.2966577410697937,"2026-02-24T19:28:45.547495Z",10074,"Sheng",11.563,0,"neutral or positive","2025-07-28T16:30:25Z","Positive","[CC] Supportive Speech","Wakudumu","2026-02-24T19:28:45.547495Z"
"",5046,3029,"1","@NorahMunyiva","Constructive Criticism","Obina you the Goat red_heart ",0.3576701283454895,"2026-02-24T19:28:57.836165Z",10075,"English",11.095,5,"offensive language","2025-07-28T16:30:24Z","Positive","[CC] Genuine Praise","Obina you the Goat❤","2026-02-24T19:28:57.836165Z"
"",5047,3030,"1","@gakiikimathi-bv3fp","Constructive Criticism","Wow I like the show  red_heart  smiling_face_with_smiling_eyes ",0.3110356330871582,"2026-02-24T19:29:12.336296Z",10076,"English",8.241,0,"irony","2025-07-28T16:29:36Z","Positive","[CC] Supportive Speech","Wow I like the show ❤😊","2026-02-24T19:29:12.336296Z"
"",5048,3031,"1","@KathrynObare","Constructive Criticism","Kwani watu huwatch bila kulike  grinning_face_with_sweat  juu tumekuwa watu almost 4.5K how comes likes 2.4k",0.3551588356494903,"2026-02-24T19:31:34.557578Z",10077,"Mixed (Code-switching)",140.523,1,"neutral or positive","2025-07-28T16:29:29Z","Neutral","[CC] Performance-based","Kwani watu huwatch bila kulike 😅 juu tumekuwa watu almost 4.5K how comes likes 2.4k","2026-02-24T19:31:34.557578Z"
"",5049,3032,"1","@carohnjeri8987","Others","I've never watched obbina show but for this nlikua nkingoja snaaaaa face_with_tears_of_joy  face_with_tears_of_joy ",0.7055909037590027,"2026-02-24T19:32:34.801771Z",10078,"Mixed (Code-switching)",50.571,1,"offensive language","2025-07-28T16:29:02Z","Positive","[Other] General Others","I've never watched obbina show but for this nlikua nkingoja snaaaaa😂😂","2026-02-24T19:32:34.801771Z"
