"Unnamed: 0","Unnamed: 0.1","annotation_id","annotator","author","category","clean_text","confidence_score","created_at","id","language","lead_time","likes","predicted_label","published_at","sentiment","subcategory","text","updated_at"
"",0,2906,"1","@ChristineArumba-y7q","Irony/Sarcasm"," rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ",0.4408399164676666,"2026-02-24T19:51:18.322618Z",84722,"Plain Emoji",3461.997,0,"offensive language","2026-02-15T10:58:38Z","Neutral","[Irony] Mock compliment","🤣🤣🤣🤣🤣🤣🤣🤣🤣","2026-02-24T19:51:18.322618Z"
"",1,2907,"1","@LexiSumaii","Irony/Sarcasm","OBina suffer alot  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.5852920413017273,"2026-02-24T20:07:26.863676Z",84723,"Mixed (Code-switching)",968.237,0,"offensive language","2026-02-09T21:24:41Z","Negative","[Irony] Mock Laughter","OBina suffer alot 😂😂😂😂","2026-02-24T20:07:26.863676Z"
"",2,2908,"1","@marthaayuma7065","Irony/Sarcasm","Mmmmh makubwa yapo njiani yanakuja",0.3248895704746246,"2026-02-24T20:26:31.625564Z",84724,"Swahili",1144.328,0,"neutral or positive","2026-02-08T02:19:02Z","Neutral","[Irony] Mock compliment","Mmmmh makubwa yapo njiani yanakuja","2026-02-24T20:26:31.625564Z"
"",3,2909,"1","@danwenger1113","Offensive","Tunataka 
Kiss between 

Salet and Onjiri",0.3351278901100158,"2026-02-24T20:26:48.639404Z",84725,"Mixed (Code-switching)",16.544,0,"constructive criticism","2026-02-07T14:27:42Z","Negative","[Offensive] Sex-based","Tunataka 
Kiss between 

Salet and Onjiri","2026-02-24T20:26:48.639404Z"
"",4,2910,"1","@emmambuvi9029","Offensive","Foolishness and witchcraft",0.5926721096038818,"2026-02-24T20:27:23.278088Z",84726,"English",34.206,0,"offensive language","2026-02-07T07:41:52Z","Negative","[Offensive] Non-personal","Foolishness and witchcraft","2026-02-24T20:27:23.278088Z"
"",5,2911,"1","@stephenmuange2998","Irony/Sarcasm","Nipee mate ×2",0.2522588670253753,"2026-02-24T20:27:40.296486Z",84727,"Mixed (Code-switching)",16.619,0,"offensive language","2026-02-07T06:04:13Z","Negative","[Irony] Mock compliment","Nipee mate ×2","2026-02-24T20:27:40.296486Z"
"",6,2912,"1","@careyochogo7069","Misinformation","he is cheating",0.4696918129920959,"2026-02-24T20:28:10.078298Z",84728,"English",29.462,0,"offensive language","2026-02-06T22:37:07Z","Neutral","[Misinfo] Misleading/Contextual Deception","he is cheating","2026-02-24T20:28:10.078298Z"
"",7,2913,"1","@Cherryclover35","Irony/Sarcasm","Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3308389484882355,"2026-02-24T20:28:51.981851Z",84729,"Mixed (Code-switching)",41.484,0,"hate speech","2026-02-06T13:34:17Z","Negative","[Irony] Mock compliment","Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart 😂😂😂😂😂😂","2026-02-24T20:28:51.981851Z"
"",8,2914,"1","@MochacheJanet","Irony/Sarcasm"," face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3975022137165069,"2026-02-24T20:29:06.263408Z",84730,"Plain Emoji",13.87,0,"neutral or positive","2026-02-06T13:04:46Z","Negative","[Irony] Mock Laughter","😂😂😂😂","2026-02-24T20:29:06.263408Z"
"",9,2915,"1","@YvonneKashish","Irony/Sarcasm","Niruhusi nikuchape pusuu a roho face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.4545678794384002,"2026-02-24T20:29:18.566800Z",84731,"Mixed (Code-switching)",11.803,0,"offensive language","2026-02-06T07:07:54Z","Negative","[Irony] Mock compliment","Niruhusi nikuchape pusuu a roho😂😂😂😂😂","2026-02-24T20:29:18.569226Z"
